,open,close,high,low,volume,money
2024-01-10,70.14,71.11,71.55,70.13,8987756.0,638026617.97
2024-01-11,70.97,69.63,71.01,69.46,12915529.0,902725736.01
2024-01-12,69.42,69.0,69.62,68.45,12167562.0,840159169.16
2024-01-15,68.83,68.0,68.94,67.87,12877315.0,879813017.25
2024-01-16,67.89,68.24,68.51,67.24,12122744.0,823603774.82
2024-01-17,68.24,65.94,68.24,65.94,14521921.0,969778390.94
2024-01-18,65.6,68.0,68.15,65.05,18511353.0,1224832350.43
2024-01-19,67.67,68.38,68.61,67.22,13756497.0,936363648.19
2024-01-22,68.32,67.38,69.44,66.4,22837852.0,1560668984.0
2024-01-23,67.38,67.81,68.29,66.87,10253075.0,693491222.3
2024-01-24,68.62,68.48,68.66,66.97,10561227.0,717814151.0
2024-01-25,68.81,70.22,70.43,68.23,12128881.0,844986929.0
2024-01-26,69.94,71.11,71.55,69.89,12157922.0,863137558.67
2024-01-29,71.48,70.81,72.01,70.81,9239569.0,658976918.91
2024-01-30,70.51,69.39,70.94,69.03,9752392.0,679663864.53
2024-01-31,69.35,67.88,69.84,67.86,10448911.0,714918065.39
2024-02-01,68.22,68.39,69.26,67.8,12450130.0,854375251.08
2024-02-02,68.82,65.95,68.82,65.08,20266157.0,1354308834.02
2024-02-05,66.67,68.19,69.35,66.53,32551217.0,2217115853.66
2024-02-06,68.19,70.42,70.78,67.85,28664295.0,1993820669.36
2024-02-07,70.42,71.45,71.57,69.6,25451906.0,1805372247.7
2024-02-08,71.63,72.61,73.36,71.48,23634339.0,1714969672.44
2024-02-19,73.54,72.67,73.7,72.02,14405134.0,1047351828.69
2024-02-20,72.68,73.02,73.23,72.07,12520115.0,911707010.01
2024-02-21,72.94,76.01,77.24,72.69,21713045.0,1636363502.51
2024-02-22,75.8,76.76,76.94,75.41,12695777.0,969002615.71
2024-02-23,76.38,75.61,77.05,75.36,10838199.0,823453404.64
2024-02-26,75.62,74.81,75.98,74.4,10002708.0,750760352.9
2024-02-27,74.81,76.28,76.33,74.69,13047012.0,990037795.41
2024-02-28,76.57,75.77,77.19,75.69,11903589.0,907952106.52
2024-02-29,75.68,77.49,77.55,75.63,14750357.0,1134659755.84
2024-03-01,77.15,76.69,77.46,76.56,10465219.0,804414287.65
2024-03-04,76.63,74.17,76.76,73.93,22221069.0,1660091765.21
2024-03-05,73.64,74.88,75.07,73.49,16455766.0,1224540602.96
2024-03-06,74.88,73.98,75.0,73.85,9184365.0,682632732.13
2024-03-07,73.98,75.0,75.24,73.91,11439805.0,855282980.23
2024-03-08,74.77,75.18,75.68,74.69,10162344.0,763741267.54
2024-03-11,75.26,75.41,75.85,74.87,10080266.0,758722725.9
2024-03-12,75.69,76.97,77.44,75.02,18582196.0,1417982755.04
2024-03-13,77.15,76.22,77.4,75.59,10745535.0,819591513.48
2024-03-14,76.23,75.29,76.45,75.01,9787999.0,739185030.1
2024-03-15,75.29,76.26,76.46,74.65,11260655.0,850073083.52
2024-03-18,76.27,76.94,77.2,75.75,10541277.0,808770005.38
2024-03-19,76.56,76.54,77.03,74.74,13181982.0,1003854789.49
2024-03-20,76.16,75.86,76.88,75.75,8964766.0,683087894.92
2024-03-21,76.17,75.2,76.27,75.07,8971339.0,676768937.9
2024-03-22,75.03,75.24,75.49,74.14,10650280.0,797360025.17
2024-03-25,75.24,76.21,76.85,75.05,14630204.0,1113332859.5
2024-03-26,76.07,77.93,78.02,76.01,15605595.0,1203167757.79
2024-03-27,77.92,77.67,79.39,77.17,17947909.0,1410525316.95
2024-03-28,77.44,78.36,79.38,77.19,12223794.0,957028947.9
2024-03-29,78.31,80.65,80.85,78.31,14802335.0,1186856152.19
2024-04-01,81.24,82.36,83.89,81.15,19868627.0,1641734814.92
2024-04-02,82.31,82.8,83.75,82.02,11540067.0,957275438.99
2024-04-03,82.68,82.7,83.25,81.87,10144554.0,837823521.02
2024-04-08,82.71,84.74,85.19,82.45,20686870.0,1743628069.21
2024-04-09,84.73,84.65,86.36,84.11,18544721.0,1574904869.58
2024-04-10,84.73,85.15,85.32,84.14,12946832.0,1100585769.98
2024-04-11,84.63,84.55,85.26,83.77,11753967.0,995052873.04
2024-04-12,84.26,83.88,84.69,83.26,14291008.0,1197344653.84
2024-04-15,83.87,85.72,86.19,83.8,17834719.0,1524071052.95
2024-04-16,85.66,84.74,86.33,84.48,15491284.0,1322053315.77
2024-04-17,84.69,84.82,85.23,83.96,10719231.0,906349938.24
2024-04-18,84.62,84.95,86.3,83.99,12145693.0,1036479456.09
2024-04-19,84.74,84.31,85.28,83.41,14049490.0,1187246131.49
2024-04-22,84.92,85.66,86.86,84.53,14184967.0,1220295470.99
2024-04-23,85.37,83.88,85.84,83.55,11941274.0,1005637670.13
2024-04-24,84.62,83.81,84.62,83.15,8764499.0,733521619.26
2024-04-25,83.75,83.88,84.33,82.97,8905814.0,745076621.67
2024-04-26,83.86,86.1,86.85,83.82,16676760.0,1428141211.67
2024-04-29,86.1,89.19,91.96,85.86,24922335.0,2235660968.56
2024-04-30,89.65,88.44,90.44,88.44,9895963.0,883841131.37
2024-05-06,90.33,91.26,91.83,89.46,20167908.0,1837778837.32
2024-05-07,91.18,91.28,91.82,91.01,10551105.0,963849193.09
2024-05-08,91.29,90.2,91.62,89.79,9137813.0,824370879.19
2024-05-09,89.72,89.67,90.19,88.53,13297303.0,1189178182.4
2024-05-10,89.74,89.56,90.73,88.84,11146421.0,997034121.68
2024-05-13,89.24,89.93,90.68,88.62,10068444.0,905643533.06
2024-05-14,89.96,89.01,90.27,88.72,8611308.0,768960138.57
2024-05-15,89.0,88.05,89.44,87.36,8651009.0,762771204.04
2024-05-16,88.03,88.1,88.6,87.21,9808463.0,861707451.12
