Date,Open,High,Low,Close,Volume
2023-04-03,4059.62,4094.94,4059.06,4090.57,182124313
2023-04-04,4089.29,4103.16,4080.07,4103.11,197146631
2023-04-06,4084.13,4098.83,4078.4,4096.64,150703374
2023-04-07,4096.9,4131.31,4092.18,4123.28,128676738
2023-04-10,4132.01,4132.3,4099.05,4104.81,152453002
2023-04-11,4108.51,4116.12,4083.49,4100.15,153901333
2023-04-12,4102.4,4108.25,4090.28,4097.29,165965278
2023-04-13,4081.39,4088.88,4059.57,4068.98,156444295
2023-04-14,4078.97,4098.22,4075.2,4092.0,150695682
2023-04-17,4090.07,4149.38,4089.51,4149.38,188773095
2023-04-18,4139.31,4169.67,4138.46,4162.03,170184130
2023-04-19,4159.39,4159.39,4118.63,4124.56,162554592
2023-04-20,4122.95,4125.82,4094.0,4113.02,162706677
2023-04-21,4114.26,4114.26,4031.91,4032.57,180802435
2023-04-24,4031.3,4033.64,3967.91,3982.64,170099217
2023-04-25,3985.11,3991.69,3925.44,3962.67,172555409
2023-04-26,3950.26,3975.66,3934.66,3959.23,162702006
2023-04-27,3948.03,3999.13,3942.82,3988.42,153828195
2023-04-28,3993.26,4030.45,3993.26,4029.09,179508488
2023-05-04,4013.47,4035.78,4001.13,4030.25,227582846
2023-05-05,4031.09,4047.6,3998.39,4016.88,206626924
2023-05-08,4028.11,4070.77,4018.96,4062.66,255583085
2023-05-09,4065.44,4092.85,4026.39,4027.88,279306048
2023-05-10,4017.94,4019.06,3984.63,3996.87,207552709
2023-05-11,4005.78,4018.06,3988.48,3990.66,144804619
2023-05-12,3987.77,3999.38,3937.53,3937.76,144421728
2023-05-15,3938.83,3998.89,3923.03,3998.89,176257362
2023-05-16,4002.52,4005.02,3966.99,3978.21,136833271
2023-05-17,3971.7,3982.6,3945.71,3960.17,118448185
2023-05-18,3965.52,3982.72,3939.55,3956.07,136533947
2023-05-19,3946.22,3967.28,3928.32,3944.54,120212479
2023-05-22,3941.0,3985.4,3935.8,3969.33,109116605
2023-05-23,3968.23,3971.94,3913.19,3913.19,118685077
2023-05-24,3903.78,3903.78,3859.09,3859.09,137258265
2023-05-25,3851.41,3861.38,3817.84,3850.5,124150770
2023-05-26,3848.42,3859.63,3815.57,3850.95,100326439
2023-05-29,3862.08,3866.72,3819.18,3833.94,131859967
2023-05-30,3827.79,3844.01,3789.27,3837.75,137619629
2023-05-31,3827.16,3827.16,3781.4,3798.54,126387368
2023-06-01,3788.59,3832.21,3786.73,3806.87,134561881
2023-06-02,3821.62,3865.28,3821.62,3861.83,125015110
2023-06-05,3860.56,3860.56,3832.46,3844.25,116163989
2023-06-06,3840.46,3867.85,3802.84,3808.16,125781258
2023-06-07,3815.48,3823.11,3780.1,3789.34,98862432
2023-06-08,3791.08,3834.39,3777.78,3820.19,118700934
2023-06-09,3822.41,3836.7,3811.22,3836.7,134319863
2023-06-12,3827.33,3859.72,3813.86,3844.43,126758543
2023-06-13,3838.13,3867.3,3833.46,3864.91,110924946
