date,code,close
2024-01-10,000001.SZ,8.3
2024-01-10,000333.SZ,52.53
2024-01-10,000651.SZ,31.42
2024-01-10,000725.SZ,3.68
2024-01-10,000858.SZ,119.1
2024-01-10,002236.SZ,15.5
2024-01-10,002352.SZ,36.78
2024-01-10,002415.SZ,29.4
2024-01-10,002714.SZ,34.52
2024-01-10,300750.SZ,142.36
2024-01-10,600000.SH,6.34
2024-01-10,600030.SH,18.64
2024-01-10,600031.SH,12.9
2024-01-10,600036.SH,26.43
2024-01-10,600048.SH,8.57
2024-01-10,600104.SH,12.79
2024-01-10,600309.SH,70.13
2024-01-10,600438.SH,23.3
2024-01-10,600519.SH,1580.05
2024-01-10,601318.SH,35.91
2024-01-11,000001.SZ,8.25
2024-01-11,000333.SZ,52.43
2024-01-11,000651.SZ,31.56
2024-01-11,000725.SZ,3.68
2024-01-11,000858.SZ,120.24
2024-01-11,002236.SZ,15.79
2024-01-11,002352.SZ,37.04
2024-01-11,002415.SZ,29.41
2024-01-11,002714.SZ,35.73
2024-01-11,300750.SZ,144.27
2024-01-11,600000.SH,6.29
2024-01-11,600030.SH,18.71
2024-01-11,600031.SH,12.96
2024-01-11,600036.SH,26.27
2024-01-11,600048.SH,8.48
2024-01-11,600104.SH,12.8
2024-01-11,600309.SH,69.46
2024-01-11,600438.SH,23.69
2024-01-11,600519.SH,1580.11
2024-01-11,601318.SH,35.72
2024-01-12,000001.SZ,8.32
2024-01-12,000333.SZ,52.28
2024-01-12,000651.SZ,31.56
2024-01-12,000725.SZ,3.68
2024-01-12,000858.SZ,121.07
2024-01-12,002236.SZ,16.37
2024-01-12,002352.SZ,37.0
2024-01-12,002415.SZ,29.55
2024-01-12,002714.SZ,35.59
2024-01-12,300750.SZ,147.85
2024-01-12,600000.SH,6.27
2024-01-12,600030.SH,18.82
2024-01-12,600031.SH,13.12
2024-01-12,600036.SH,26.65
2024-01-12,600048.SH,8.6
2024-01-12,600104.SH,12.93
2024-01-12,600309.SH,68.45
2024-01-12,600438.SH,24.0
2024-01-12,600519.SH,1581.4
2024-01-12,601318.SH,36.11
2024-01-15,000001.SZ,8.34
2024-01-15,000333.SZ,52.36
2024-01-15,000651.SZ,31.56
2024-01-15,000725.SZ,3.66
2024-01-15,000858.SZ,120.11
2024-01-15,002236.SZ,16.14
2024-01-15,002352.SZ,36.8
2024-01-15,002415.SZ,29.35
2024-01-15,002714.SZ,36.18
2024-01-15,300750.SZ,145.08
2024-01-15,600000.SH,6.24
2024-01-15,600030.SH,18.71
2024-01-15,600031.SH,12.91
2024-01-15,600036.SH,26.76
2024-01-15,600048.SH,8.48
2024-01-15,600104.SH,12.89
2024-01-15,600309.SH,67.87
2024-01-15,600438.SH,24.58
2024-01-15,600519.SH,1576.62
2024-01-15,601318.SH,35.79
2024-01-16,000001.SZ,8.37
2024-01-16,000333.SZ,52.78
2024-01-16,000651.SZ,31.74
2024-01-16,000725.SZ,3.63
2024-01-16,000858.SZ,119.96
2024-01-16,002236.SZ,16.22
2024-01-16,002352.SZ,36.66
2024-01-16,002415.SZ,29.38
2024-01-16,002714.SZ,36.08
2024-01-16,300750.SZ,146.26
2024-01-16,600000.SH,6.26
2024-01-16,600030.SH,18.6
2024-01-16,600031.SH,12.88
2024-01-16,600036.SH,26.98
2024-01-16,600048.SH,8.36
2024-01-16,600104.SH,12.93
2024-01-16,600309.SH,67.24
2024-01-16,600438.SH,24.27
2024-01-16,600519.SH,1567.45
2024-01-16,601318.SH,36.02
2024-01-17,000001.SZ,8.43
2024-01-17,000333.SZ,54.0
2024-01-17,000651.SZ,31.78
2024-01-17,000725.SZ,3.65
2024-01-17,000858.SZ,118.27
2024-01-17,002236.SZ,16.17
2024-01-17,002352.SZ,36.93
2024-01-17,002415.SZ,29.93
2024-01-17,002714.SZ,35.95
2024-01-17,300750.SZ,147.42
2024-01-17,600000.SH,6.29
2024-01-17,600030.SH,18.6
2024-01-17,600031.SH,12.82
2024-01-17,600036.SH,27.38
2024-01-17,600048.SH,8.26
2024-01-17,600104.SH,12.89
2024-01-17,600309.SH,65.94
2024-01-17,600438.SH,24.21
2024-01-17,600519.SH,1521.21
2024-01-17,601318.SH,36.09
2024-01-18,000001.SZ,8.22
2024-01-18,000333.SZ,52.76
2024-01-18,000651.SZ,31.0
2024-01-18,000725.SZ,3.51
2024-01-18,000858.SZ,116.43
2024-01-18,002236.SZ,15.9
2024-01-18,002352.SZ,35.77
2024-01-18,002415.SZ,29.6
2024-01-18,002714.SZ,34.95
2024-01-18,300750.SZ,145.73
2024-01-18,600000.SH,6.13
2024-01-18,600030.SH,18.17
2024-01-18,600031.SH,12.48
2024-01-18,600036.SH,26.98
2024-01-18,600048.SH,8.17
2024-01-18,600104.SH,12.56
2024-01-18,600309.SH,65.05
2024-01-18,600438.SH,23.96
2024-01-18,600519.SH,1500.52
2024-01-18,601318.SH,35.74
2024-01-19,000001.SZ,8.31
2024-01-19,000333.SZ,53.51
2024-01-19,000651.SZ,31.5
2024-01-19,000725.SZ,3.57
2024-01-19,000858.SZ,119.2
2024-01-19,002236.SZ,16.33
2024-01-19,002352.SZ,36.3
2024-01-19,002415.SZ,30.57
2024-01-19,002714.SZ,35.74
2024-01-19,300750.SZ,149.02
2024-01-19,600000.SH,6.24
2024-01-19,600030.SH,18.63
2024-01-19,600031.SH,12.79
2024-01-19,600036.SH,27.48
2024-01-19,600048.SH,8.32
2024-01-19,600104.SH,12.89
2024-01-19,600309.SH,67.22
2024-01-19,600438.SH,24.93
2024-01-19,600519.SH,1544.24
2024-01-19,601318.SH,36.6
2024-01-22,000001.SZ,8.26
2024-01-22,000333.SZ,52.76
2024-01-22,000651.SZ,30.97
2024-01-22,000725.SZ,3.52
2024-01-22,000858.SZ,118.9
2024-01-22,002236.SZ,15.8
2024-01-22,002352.SZ,35.69
2024-01-22,002415.SZ,29.83
2024-01-22,002714.SZ,34.76
2024-01-22,300750.SZ,146.35
2024-01-22,600000.SH,6.3
2024-01-22,600030.SH,18.31
2024-01-22,600031.SH,12.58
2024-01-22,600036.SH,28.01
